"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"","Run","","0.5","","2023-01-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-01-25","","2000","","","","","0.661077780392435","0.835073068893528","","21","","120","141","","","0.854854414375383","41.3","35","0","0","0","0","","","","","","","","","","","","","","","","",""
"Zwift - 1 hour ride in Watopia","Bike","","","","2023-01-25","","28644.130859375","144","283","526.936","","1.01029527187347","7.875","","78","","124","136","","","0.575965760153994","33.02","2","58","0","0","0","","","","","","59","1","0","0","0","","","","","","",""
"","Run","","0.5","","2023-01-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","1","","2023-01-26","","29513.900390625","152","290","555.993","","1.01360833644867","8.08800029754639","","78","","123","134","","","0.603320523682419","36.34","4","57","0","0","0","","","","","","59","1","0","0","0","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-01-27","","2000","","","","","0.666010281244914","0.829187396351575","","21","","115","132","","","0.848523325732471","40.69","31","0","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","0.5","","2023-01-28","","3011.35009765625","243","331","301.937","","0.344269722700119","2.4300000667572","","172","","140","150","","","0.623567517716914","13.05","19","1","0","0","0","","","","","","6","0","0","0","0","","","","","","",""
"Aerobic Bike","Bike","","2.5","","2023-01-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","2","","2023-01-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alpine Skiing","Other","","","","2023-01-29","","36249.6015625","","","","","1.66003811359406","6.06599998474121","","","","102","131","","","0.58701496220461","63.78","9","0","0","0","0","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-01-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","1","","2023-01-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alpine Skiing","Other","","","","2023-01-30","","39685.421875","","","","","1.67226552963257","6.59200000762939","","","","138","179","","","0.686031377491905","88.31","62","11","19","1","1","","","","","","","","","","","","","","","","",""
